time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure,altitude,fix_q,sat,lat,long,gps_alt,gps_speed,telem_signal
2292.834,-0.435,-9.917,-0.477,-0.164,0.875,-0.169,0.002,0.001,-0.001,96.555,32.325,994.733,13.736,0.0,0.0,0.0,0.0,0.0,0.0,-55
2293.243,-0.612,-9.915,-0.515,-0.168,0.864,-0.179,0.004,-0.001,0.001,96.555,32.237,994.741,13.106,0.0,0.0,0.0,0.0,0.0,0.0,-55
2293.653,-0.477,-9.909,-0.455,-0.158,0.862,-0.177,0.005,-0.003,-0.0,96.611,32.418,994.752,12.227,0.0,0.0,0.0,0.0,0.0,0.0,-51
2294.063,-0.468,-9.941,-0.474,-0.156,0.877,-0.183,0.004,0.001,-0.001,96.629,32.116,994.767,13.136,0.0,0.0,0.0,0.0,0.0,0.0,-52
2294.474,-0.455,-9.91,-0.525,-0.171,0.872,-0.17,0.004,-0.001,-0.0,96.638,32.045,994.732,12.878,0.0,0.0,0.0,0.0,0.0,0.0,-51
2294.878,-0.466,-9.911,-0.507,-0.159,0.866,-0.182,0.002,-0.003,0.0,96.638,31.952,994.723,13.49,0.0,0.0,0.0,0.0,0.0,0.0,-52
2295.287,-0.452,-9.91,-0.494,-0.156,0.864,-0.174,-0.001,0.002,-0.0,96.647,31.951,994.728,11.998,0.0,0.0,0.0,0.0,0.0,0.0,-52
2295.7,-0.464,-9.898,-0.519,-0.154,0.872,-0.173,0.003,-0.004,0.0,96.666,31.535,994.739,13.003,0.0,0.0,0.0,0.0,0.0,0.0,-52
2296.105,-0.458,-9.9,-0.507,-0.166,0.862,-0.163,0.002,-0.003,-0.003,96.712,31.918,994.769,12.678,0.0,0.0,0.0,0.0,0.0,0.0,-52
2296.513,-0.456,-9.891,-0.514,-0.157,0.854,-0.174,0.004,-0.002,-0.002,96.693,31.359,994.751,12.448,0.0,0.0,0.0,0.0,0.0,0.0,-52
2296.925,-0.462,-9.895,-0.474,-0.164,0.866,-0.176,-0.006,-0.001,0.001,96.693,31.776,994.743,13.29,0.0,0.0,0.0,0.0,0.0,0.0,-51
2297.335,-0.438,-9.905,-0.502,-0.152,0.864,-0.178,0.002,-0.004,0.0,96.684,31.31,994.762,12.19,0.0,0.0,0.0,0.0,0.0,0.0,-51
2297.744,-0.612,-9.904,-0.473,-0.149,0.88,-0.186,0.0,-0.003,-0.001,96.666,31.37,994.76,13.232,0.0,0.0,0.0,0.0,0.0,0.0,-52
2298.15,-0.465,-9.882,-0.51,-0.163,0.859,-0.174,0.003,-0.005,0.0,96.675,31.431,994.76,12.83,0.0,0.0,0.0,0.0,0.0,0.0,-51
